question,answer,source_file
Câu 1: Trong điều kiện chuẩn về nhiệt độ và áp suất thì,"['A. số phân tử trong một đơn vị thể tích của các chất khí khác nhau là như nhau.', 'B. các phân tử của các chất khí khác nhau chuyển động với vận tốc như nhau.', 'C. khoảng cách giữa các phân tử rất nhỏ so với kích thước của các phân tử.', 'D. các phân tử khí khác nhau va chạm vào thành bình tác dụng vào thành bình những lực bằng nhau.']",01_TdtntTayNguyen_Ntt.docx
Câu 2: Khi truyền nhiệt cho một khối khí thì khối khí có thể,"['A. tăng nội năng và thực hiện công.', 'B. giảm nội năng và nhận công.', 'C. giảm nội năng.', 'D. nhận công.']",01_TdtntTayNguyen_Ntt.docx
Câu 3: Câu nào sau đây nói về nhiệt lượng là không đúng?,"['A. Nhiệt lượng là số đo độ tăng nội năng của vật trong quá trình truyền nhiệt.', 'B. Một vật lúc nào cũng có nội năng nên lúc nào cũng có nhiệt lượng.', 'C. Đơn vị của nhiệt lượng cũng là đơn vị của nội năng.', 'D. Nhiệt lượng không phải là nội năng.']",01_TdtntTayNguyen_Ntt.docx
Câu 4: Phóng xạ là,"['A. quá trình hạt nhân nguyên tử phát các tia không nhìn thấy.', 'B. quá trình phân rã tự phát của một hạt nhân không bền vững.', 'C. quá trình hạt nhân nguyên tử hấp thụ năng lượng để phát ra các tia .', 'D. quá trình hạt nhân nguyên tử nặng bị phá vỡ thành các hạt nhân nhỏ hơn.']",01_TdtntTayNguyen_Ntt.docx
Câu 5: Phát biểu nào sau đây là không đúng khi nói về điện từ trường,"['A. Khi một điện trường biến thiên theo thời gian, nó sinh ra một từ trường xoáy.', 'B. Điện trường xoáy là điện trường có các đường sức là những đường cong.', 'C. Khi một từ trường biến thiên theo thời gian, nó sinh ra một điện trường.', 'D. Từ trường xoáy có các đường sức từ bao quanh các đường sức điện.']",01_TdtntTayNguyen_Ntt.docx
"Câu 8: Trong quá trình truyền sóng điện từ, vector cường độ điện trường và vector cảm ứng từ luôn","['A. có phương vuông góc với nhau và vuông góc với phương truyền sóng.', 'B. có phương song song và cùng chiều.', 'C. có phương song song và ngược chiều.', 'D. có phương trùng với phương truyền sóng.']",01_TdtntTayNguyen_Ntt.docx
"Câu 9: Trong hai nhiệt lượng kế có chứa hai chất lỏng khác nhau ở hai nhiệt độ ban đầu khác nhau. Người ta dùng một nhiệt kế, lần lượt nhúng đi nhúng lại vào nhiệt lượng kế 1 rồi vào nhiệt lượng kế 2. Số chỉ của nhiệt kế lần lượt là 80°C, 16°C, 78°C, 19°C. Đến lần nhúng tiếp theo nhiệt kế chỉ","['A. 75°', 'C.', 'B. 76°', 'C.', 'C. 77°', 'C.', 'D. 78°C.']",01_TdtntTayNguyen_Ntt.docx
"Câu 10: Cuộn thứ cấp của một máy biến áp có 800 vòng. Từ thông trong lõi biến thế biến thiên với tần số 50 Hz và giá trị từ thông cực đại qua một vòng dây bằng 2,4 mWb. Suất điện động hiệu dụng cuộn thứ cấp có giá trị xấp xỉ bằng","['A. 220 V.', 'B. 456,8 V.', 'C. 426,5 V.', 'D. 140 V.']",01_TdtntTayNguyen_Ntt.docx
"Câu 11: Trong việc truyền tải điện năng đi xa, để giảm công suất tiêu hao trên đường dây lần thì cần phải","['A. giảm điện áp xuống n lần.', 'B. giảm điện áp xuống lần.', 'C. tăng điện áp lên n lần.', 'D. tăng điện áp lên lần.']",01_TdtntTayNguyen_Ntt.docx
Câu 12: Pôlôni phóng xạ và biến đổi thành chì Pb. Biết khối lượng các hạt nhân P0; ; Pb lần lượt là: và . Năng lượng tỏa ra khi một hạt nhân pôlôni phân rã xấp xỉ bằng,"['A. .', 'B. .', 'C. .', 'D. .']",01_TdtntTayNguyen_Ntt.docx
Câu 14: Phát biểu nào sao đây là SAI khi nói về độ phóng xạ (hoạt độ phóng xạ) ?,"['A.Độ phóng xạ là đại lượng đặc trưng cho tính phóng xạ mạnh hay yếu của một lượng chất phóng xạ.', 'B. Đơn vị đo độ phóng xạ là Becquerel', 'C. Với mỗi lượng chất phóng xạ xác định thì độ phóng xạ tỉ lệ với số nguyên tử của lượng chất đó.', 'D. Độ phóng xạ của một lượng chất phóng xạ phụ thuộc nhiệt độ của lượng chất đó.']",01_TdtntTayNguyen_Ntt.docx
Câu 15: Khi nói về khối lượng phân tử của chất khí và thì,"['A. khối lượng phân tử của các khí H2, He,O2 và N2 đều bằng nhau.', 'B. khối lượng phân tử của O2 nặng nhất trong 4 loại khí trên.', 'C. khối lượng phân tử của N2 nặng nhất trong 4 loại khí trên.', 'D. khối lượng phân tử của He nhẹ nhất trong 4 loại khí trên.']",01_TdtntTayNguyen_Ntt.docx
Câu 16: Khi ấn từ từ pit tông xuống để nén khí trong xi lanh thì,"['A. nhiệt độ khí thay đổi.', 'B. áp suất khí tăng, thể tích khí tăng.', 'C. áp suất tỉ lệ thuận với thể tích.', 'D. áp suất khí tăng, thể tích khí giảm.']",01_TdtntTayNguyen_Ntt.docx
Câu 17: Hạt nhân X phóng xạ biến đổi thành hạt nhân bên Y. Ban đầu (t = 0) có một mẫu chất X nguyên chất. Tại thời điểm và tỉ số giữa số hạt nhân Y và số hạt nhân X ở trong mẫu tương ứng là 2 và 3. Tại thời điểm tỉ số đó là,"['A. 17.', 'B. 575.', 'C. 107.', 'D. 72.']",01_TdtntTayNguyen_Ntt.docx
"Câu 18: Pôlôni là chất phóng xạ có chu kì bán rã ngày và biến đổi thành hạt nhân chì. Vào lúc ngày một mẫu phóng xạ có khối lượng được phát hiện, trong đó khối lượng của mẫu là chất phóng xạ pôlôni phần còn lại không có tính phóng xạ. Giả sử toàn bộ các hạt sinh ra trong quá trình phóng xạ đều thoát ra khỏi mẫu. Lấy khối lượng của các hạt nhân bằng số khối của chúng tính theo đơn vị Vào ngày nào sau đây khối lượng của mẫu có giá trị là","['A. 16/2/2024', 'B. 14/2/2024', 'C. 28/4/2024', 'D. 20/12/2024']",01_TdtntTayNguyen_Ntt.docx
"Câu 1: Trong một ngày, một học sinh theo dõi nhiệt độ không khí trong nhà và lập được bảng bên.","['A. a. Nhiệt độ lúc 9 giờ là 270C.', 'B. b. Nhiệt độ đạt 310C vào lúc 18 giờ.', 'C. c. Lúc 10 giờ thì nhà nóng nhất.', 'D. d. Lúc 7 giờ thì nhiệt độ thấp nhất.']",01_TdtntTayNguyen_Ntt.docx
Câu 2: Khi tấm kim loại bằng đồng dao động trong từ trường giữa hai cực của một nam châm chữ U.,"['A. a. Trong tấm kim loại xuất hiện dòng điện Foucault.', 'B. b. Dòng điện trong tấm kim loại là dòng điện cảm ứng.', 'C. c. Nhiệt độ của tấm kim loại giảm dần.', 'D. d. Dao động của tấm kim loại là dao động tắt dần.']",01_TdtntTayNguyen_Ntt.docx
Câu 3: Một hỗn hợp khí helium và argon ở áp suất và nhiệt độ khối lượng riêng Biết khối lượng mol,"['A. a. Khối lượng khí Argon trong hỗn hợp là', 'B. b. Số phân tử Argon trong hỗn hợp khí là', 'C. c. Khối lượng khí Helium trong hỗn hợp khí là', 'D. d. Số phân tử Helium trong hỗn hợp khí là']",01_TdtntTayNguyen_Ntt.docx
Câu 4: Uranium có chu kì bán rã là năm. Khi phóng xạ Uranium biến thành Thorium Ban đầu có Uranium.,"['A. a. Hạt nhân Thorium bền hơn hạt nhân Uranium', 'B. b. Khối lượng Uranium còn lại sau năm là', 'C. c. Số hạt nhân Uranium còn lại sau năm là 3,7265.1021 hạt nhân.', 'D. d. Tỉ số giữa số hạt nhân Uranium còn lại và số hạt nhân Thorium tạo thành sau năm là']",01_TdtntTayNguyen_Ntt.docx
Câu 4. Một bình cách nhiệt nhẹ chứa nước ở nhiệt độ t0 = 20°,"['C. Người ta lần lượt thả vào bình này những quả cầu giống nhau đã được đốt nóng đến 100°', 'C. Sau khi thả quả cầu thứ nhất thì nhiệt độ của nước trong bình khi cân bằng nhiệt là t₁ = 40°', 'C. Bỏ qua sự trao đổi nhiệt với bình và môi trường. Giả thiết nước không bị tràn ra ngoài và không tính đến sự bay hơi của nước. Cần phải thả bao nhiêu quả cầu để nhiệt độ của nước trong bình khi cân bằng nhiệt là 90°C?']",01_TdtntTayNguyen_Ntt.docx
"Câu 6. Hiện nay urani tự nhiên chứa hai đồng vị phóng xạ và với tỉ lệ số hạt và số hạt là Biết chu kì bán rã và lần lượt là năm và năm. Cách đây bao nhiêu tỉ năm, urani tự nhiên có tỷ lệ số hạt và số là (Kết quả làm tròn đến 2 chử số thập phân sau dấu phẩy)?","['A. ----------------HẾT----------------', 'B. -Thí sinh không được sử dụng tài liệu.', 'C. -Giám thị không giải thích gì thêm.']",01_TdtntTayNguyen_Ntt.docx
Trong điều kiện chuẩn về nhiệt độ và áp suất thì,"['A. số phân tử trong một đơn vị thể tích của các chất khí khác nhau là như nhau.', 'B. các phân tử của các chất khí khác nhau chuyển động với vận tốc như nhau.', 'C. khoảng cách giữa các phân tử rất nhỏ so với kích thước của các phân tử.', 'D. các phân tử khí khác nhau va chạm vào thành bình tác dụng vào thành bình những lực bằng nhau.']",01_TdtntTayNguyen_Ntt.docx
Khi truyền nhiệt cho một khối khí thì khối khí có thể,"['A. tăng nội năng và thực hiện công.', 'B. giảm nội năng và nhận công.', 'C. giảm nội năng.', 'D. nhận công.']",01_TdtntTayNguyen_Ntt.docx
Câu nào sau đây nói về nhiệt lượng là không đúng?,"['A. Nhiệt lượng là số đo độ tăng nội năng của vật trong quá trình truyền nhiệt.', 'B. Một vật lúc nào cũng có nội năng nên lúc nào cũng có nhiệt lượng.', 'C. Đơn vị của nhiệt lượng cũng là đơn vị của nội năng.', 'D. Nhiệt lượng không phải là nội năng.', 'E. Nhiệt lượng là số đo độ biến thiên nội năng của vật trong quá trình truyền nhiệt.']",01_TdtntTayNguyen_Ntt.docx
Một vật lúc nào cũng có nội năng nhưng không tham gia vào quá trình truyền nhiệt thì nội năng không biến đổi nên không có nhiệt lượng được nhận thêm hay mất đi.,"['A. Phóng xạ là', 'A. quá trình hạt nhân nguyên tử phát các tia không nhìn thấy.', 'B. quá trình phân rã tự phát của một hạt nhân không bền vững.', 'C. quá trình hạt nhân nguyên tử hấp thụ năng lượng để phát ra các tia .', 'D. quá trình hạt nhân nguyên tử nặng bị phá vỡ thành các hạt nhân nhỏ hơn.', 'F. - Phóng xạ là hiện tượng hạt nhân nguyên tử của một số nguyên tố (kém bền vững) tự phóng ra các bức xạ rồi biến đổi thành hạt nhân nguyên tử của các nguyên tố khác (bền vững hơn).', 'G. - Như vậy phóng xạ quá trình phân rã tự phát của một hạt nhân không bền vững.']",01_TdtntTayNguyen_Ntt.docx
